path,category,reason,risk_level,referenced_by,recommended_action
archive/misc/katex_issues.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/misc/notion_report.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/misc/notion_update_v2.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/misc/notion_v17_new.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md;docs_for_notebooklm/00_repository_inventory.md;docs_for_notebooklm/06_repository_cleanup_plan.md;docs_for_notebooklm/REPORT_HISTORY.md;docs_for_notebooklm/REPORT_TO_CHATGPT.md,Keep in place until human confirms references and approves archive policy.
archive/misc/sec2_v15.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/misc/sec2_v16.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/misc/wait_and_update_notion.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,CLEANUP_MANIFEST.md,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v10_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v11_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v12_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v13_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v15_new.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v16_new.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v3_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v4_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v5_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
