file_path,category,implementation,uses_half_factor,k_handling,contains_bic,contains_rmse,safe_to_use_in_notion,caution
expfam/src/run_fixed_real_wine_pilot.py,fixed_wine,fixed_no_0.5,no,k_sweep_1to9,yes,"partial (rmse_x only, no rmse_y)",yes,ablation phase reuses the swept best_k (=3) as a fixed k; not an independent k=3 hardcode
expfam/results/real_data/wine_fixed_pilot/wine_bic_k1to9.csv,fixed_wine,fixed_no_0.5,no,k_sweep_1to9,yes,partial (rmse_x only),yes,BIC mean is minimized at k=3 (genuine 9k x 5trial sweep)
expfam/results/real_data/wine_fixed_pilot/wine_bic_bestk.csv,fixed_wine,fixed_no_0.5,no,k_sweep_1to9 (summary),yes,no,yes,"best_k=3 stored here is argmin of wine_bic_k1to9.csv, not independently hardcoded"
expfam/results/real_data/wine_fixed_pilot/wine_ablation_metrics.csv,fixed_wine,fixed_no_0.5,no,k_fixed_3 (=swept best_k),yes,partial (rmse_x only),yes,"ablation (X+Y/X_only/Y_only) computed only at k=best_k=3, not at k=6"
expfam/src/run_wine_dual.py,old05_wine,old_0.5,yes,k_fixed_6,"yes (single k only, no comparison across k)","yes (rmse_x, rmse_y)",no,"K=6 is a hardcoded constant (K,L,NITER,N_TRIALS=6,10,20,5); no loop over k, no best_k computation anywhere in this script"
expfam/results/wine_dual_results.csv,old05_wine,old_0.5,yes,k_fixed_6,yes (single k only),"yes (rmse_X, rmse_Y)",no,No 'k' column at all in this CSV -- confirms no multi-k comparison was ever stored
expfam/results/wine_F.npy,old05_wine,old_0.5,yes,k_fixed_6,no,no,no,F matrix from the old 0.5-factor implementation; do not use as a fixed-version result or for F heatmaps in Notion
expfam/src/model_dual_expfam.py,implementation,old_0.5,yes,"n/a (model class, not k-specific)",n/a,n/a,"no (code, not a result)",_calc_gradient L.159 `0.5 * w * (...)`; _calc_precision_matrix L.200 `0.5 * (w**2) * (...)` -- the spurious 0.5 noted in CLAUDE.md
expfam/src/model_dual_expfam_fixed.py,implementation,fixed_no_0.5,no,"n/a (model class, not k-specific)",n/a,n/a,"yes (code, not a result)",L.77 and L.113: same Term3 with the 0.5 factor explicitly removed (`# 0.5 なし (fixed)`)
reproduction/src/model.py,paper_reproduction,old_0.5,yes,n/a (model class),no (no BIC function in this file),n/a,"no (code, not a result)","LatentStructuralModel._calc_gradient L.283 and _calc_precision_matrix L.353 both contain `0.5 * ...` Term3, same issue as model_dual_expfam.py"
reproduction/src/experiment_paper_real.py,paper_reproduction,old_0.5 (uses LatentStructuralModel),yes,k_fixed_6,no (no BIC computed in this script),"yes (rmse_X, rmse_Y)",no,"L.215 `k = 6  # k=6 (selected by BIC per paper)' -- a citation of the paper's reported value, not an independently computed sweep"
reproduction/src/experiment_paper_2.py,paper_reproduction,old_0.5 (uses LatentStructuralModel),yes,k_sweep_1to10 (synthetic data only),"yes (paper Eq.26 formula, explicitly cited in code)",unknown (not checked in this audit),no (not applicable to real Wine data),"This BIC sweep is run on SYNTHETIC data (n=150,d=15,k_true in {1,3,5,7,9}), never on the real Wine dataset"
reproduction/results/results_real_wine.csv,paper_reproduction,old_0.5,yes,"k_fixed_6 (presumed, from experiment_paper_real.py)",no,"yes (RMSE_X, RMSE_Y)",no,No k column; single fit only. Output of experiment_paper_real.py's hardcoded k=6 run
expfam/src/archive/experiment_real_all.py,old_unverified,"unknown (single-family Bernoulli LSM, not dual-expfam)",unknown (not audited),"k_fixed_3 (WINE_K=3, chosen as 'latent dim = num wine classes')",no,no,no,"A third, separate legacy Wine script (archived) using a different k=3 hardcode rationale and a different (single-family) model; unrelated to the k=3 vs k=6 BIC question"
