file_path,category,experiment_type,subset,n,d,k_values,contains_metrics,contains_figures,safe_to_use_in_notion,caution
expfam/data/cora/cora.content,data,raw_data,full Cora (n=2708),2708,1433,n/a,no,no,"no (raw data file, not a result)",Used as the source for all Cora subsets below; not re-downloaded this session
expfam/data/cora/cora.cites,data,raw_data,full Cora (n=2708),2708,n/a,n/a,no,no,"no (raw data file, not a result)",Citation edge list; symmetrized to undirected Y in all subset scripts
expfam/src/run_fixed_real_cora_subset_pilot.py,bfs_pilot,k_metrics_pilot,BFS from highest-degree node,300,50,unknown (not audited in detail),yes,yes,no,"Oldest pilot; non-balanced BFS subset, only 6/7 classes present; superseded by balanced_degree"
expfam/results/real_data/cora_subset_pilot/,bfs_pilot,k_metrics_pilot,BFS from highest-degree node,300,50,unknown,yes,yes,no,"Use only as historical context if needed, not as Notion main result"
expfam/src/run_fixed_real_cora_balanced_subset_pilot.py,old_or_unclear,subset_strategy_comparison,balanced_random vs balanced_degree,280,50,"n/a (subset-selection comparison, not a k-sweep)",yes,yes,no (methodology justification only),"Established that balanced_degree (433 edges) is far less degenerate than balanced_random (79 edges, 181 isolated nodes); informs but is not itself the main result"
expfam/results/real_data/cora_balanced_subset_pilot/,old_or_unclear,subset_strategy_comparison,balanced_random vs balanced_degree,280,50,n/a,yes,yes,no,"Can be cited as the reason balanced_degree was chosen, if needed"
expfam/src/run_fixed_real_cora_balanced_k_sweep.py,balanced_degree_k_sweep,k_sweep,balanced_degree,280,50,"1,2,3,4,5,6",yes,yes,yes,MAIN RESULT 1. 18/18 fits success (k=1..6 x 3 trials)
expfam/results/real_data/cora_balanced_k_sweep/,balanced_degree_k_sweep,k_sweep,balanced_degree,280,50,"1,2,3,4,5,6",yes,yes,yes,"best_k differs by criterion: BIC->1, AUC/AP->6, NMI/ARI->3"
expfam/src/run_fixed_real_cora_heldout_link_prediction.py,heldout_link_prediction,heldout_link_prediction,balanced_degree,280,50,"3,6",yes,yes,yes,"MAIN RESULT 2. test_edge_ratio=0.2, split_trials=0,1,2, model_trials=0,1 (n_trials=6 per k)"
expfam/results/real_data/cora_heldout_link_prediction/,heldout_link_prediction,heldout_link_prediction,balanced_degree,280,50,"3,6",yes,yes,yes,test_AUC/AP both best at k=6; NMI/ARI both best at k=3 (same pattern as in-sample k-sweep)
expfam/src/run_fixed_real_cora_scaling_heldout.py,old_or_unclear,scaling_heldout_link_prediction,balanced_degree (n=280/490/700/980),280-980,50,"3,6",yes,yes,no (not requested for this Cora section; different design from the requested held-out spec),"Most recent / largest Cora study (scaling across n), but uses a different evaluation pipeline (all-candidate AP/AUC) than cora_heldout_link_prediction; treat as a separate follow-up, not a substitute"
