script,datetime,git_head,branch,n,k,L,num_iter,test_ratio,split_trials,model_trials,split_seed_base,model_seed_base,high_count_threshold,condition,transform_note,leak_caveat,attribute_stats,total_runtime_s
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,y_only,X 不使用（fix_x=True）,mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.6
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_only,genre 19列（0/1 生値、Bernoulli 正指定）,mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.6
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_year,"genre19(Bernoulli) + year(z-score, Gaussian) = 20列",mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.7
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_avg_rating,"genre19(Bernoulli) + mean_rating(z-score, Gaussian) = 20列",mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.7
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_count_raw_poisson,"genre19(Bernoulli) + ratings_count(生値, Poisson) = 20列",mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.7
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_log_count_gaussian,genre19(Bernoulli) + log1p(ratings_count)のz-score(Gaussian) = 20列,mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.8
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,genre_zscore_count_gaussian,genre19(Bernoulli) + ratings_count生値のz-score(Gaussian、log変換なし) = 20列,mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.8
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,rating_stats_only,"mean_rating(z-score,Gaussian) + year(z-score,Gaussian) + ratings_count(生値,Poisson) の3列 per-column",mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.8
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,mixed_percolumn_raw,"genre19(Bernoulli) + mean_rating + year(Gaussian) + ratings_count(生値,Poisson) = 22列 per-column（既存pilotのmixed_percolumnと同一構成）",mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.9
tools/research_audit/run_movielens_attribute_diagnosis.py,2026-07-13T21:21:07,3fe24b6,research/story-diagnostics,100,3,5,8,0.2,1,1,102000,103000,42.0,mixed_percolumn_log_count,genre19(Bernoulli) + mean_rating + year(Gaussian) + log1p(ratings_count)のz-score(Gaussian) = 22列 per-column（countをPoisson生値からGaussian log-zに変更した比較用）,mean_rating と ratings_count は train/test pair split より前に build_attributes() 内で全 u.data / 既存メタデータから計算されており、split に依存しない（leakage risk）。Y（共評価カウント）も同じ u.data 由来。year のみタイトル由来でリークなし。今回は train-only 化をしていない診断実験であり、厳密な汎化性能の証拠ではなく悪化要因の切り分けを目的とする。,"{'mean_rating_mean': 3.536274844754737, 'year_min': 1939.0, 'year_max': 1998.0, 'count_mean': 154.38, 'count_max': 200.0}",102.9
